Video Topic,Youtube Link,
Python introduction, https://www.youtube.com/watch?v=CtbckFw0pJs&list=PLd3UqWTnYXOmzcSdWIh-EggqAtCXvJxzu,
numpy full tutorial in Python,https://www.youtube.com/watch?v=Rbh1rieb3zc,
pandas full tutorial in Python,https://www.youtube.com/watch?v=RhEjmHeDNoA,
what is API,https://www.youtube.com/watch?v=E0Qqpn8ymko,
OOPS Tutorial in Python,https://www.youtube.com/watch?v=ZDa-Z5JzLYM,
String Slicing and other function in Python,https://www.youtube.com/watch?v=lPZn7zcGXQo,
List functions tutorial in Python,https://www.youtube.com/watch?v=neTsPE9XFsQ,
Tuple in Python,https://www.youtube.com/watch?v=aVHNlC-cAjw,
Sets in python,https://www.youtube.com/watch?v=iVJv3zdgkD4,
If Else & Elif in python,https://www.youtube.com/watch?v=3VejIihDfwU,
what is machine learning,https://www.youtube.com/watch?v=gmvvaobm7eQ&list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw,
linear regression single variable ML,https://www.youtube.com/watch?v=8jazNUpO3lQ&list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw&index=2,`
linear regression multiple variable ML,https://www.youtube.com/watch?v=J_LnPL3Qg70&list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw&index=3,
Logistic Regression ML,https://www.youtube.com/watch?v=zM4VZR0px8E&list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw&index=8,
Support Vector Machine ML,https://www.youtube.com/watch?v=FB5EdxAGxQg&list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw&index=11,
K Fold cross validation in ML,https://www.youtube.com/watch?v=gJo0uNL-5Qw&list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw&index=13,
K means clustering ML,https://www.youtube.com/watch?v=EItlUEPCIzM&list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw&index=14,
Naïve Bayes part 1 ML,https://www.youtube.com/watch?v=PPeaRc-r1OI&list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw&index=15,
Naïve Bayes part 2 ML,https://www.youtube.com/watch?v=PPeaRc-r1OI&list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw&index=15,
Training and testing in  ML,https://www.youtube.com/watch?v=fwY9Qv96DJY&list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw&index=7,
Simple Explanation of Convolutional nural Network ML,https://www.youtube.com/watch?v=zfiSAzpy9NM,
What are features and labels in ML,https://www.youtube.com/watch?v=6pUkiLnpYC4&list=PLu0W_9lII9ai6fAMHp-acBmJONT7Y4BSG&index=3,
How does linear regression work ML,https://www.youtube.com/watch?v=vKdgg8O2me8&list=PLu0W_9lII9ai6fAMHp-acBmJONT7Y4BSG&index=11,
Supervised learning classification ML,https://www.youtube.com/watch?v=U3SfXcPqeTo&list=PLu0W_9lII9ai6fAMHp-acBmJONT7Y4BSG&index=14,
K Nearest neighbor Classification in python ML,https://www.youtube.com/watch?v=lCUMtthAr38&list=PLu0W_9lII9ai6fAMHp-acBmJONT7Y4BSG&index=15,
Overfitting And UnderFitting in models Explained ML,https://www.youtube.com/watch?v=nkakQ4_ouKE&list=PLu0W_9lII9ai6fAMHp-acBmJONT7Y4BSG&index=17,
